Heigh,Width,Year_w,currentBid,itemId,lotNumber,presaleEstimateHigh,presaleEstimateLow,priceRealised,startingBid,durationDays,saleUnif,isTitled,oil,ink,color,gouache,pastel,silver gelatin,chromogenic,charcoal,pigment,etching,leaf,leaves,Opaque pigments,pencil,acrylic,watercolor,pen,marble dust,scroll,engraving,mezzotint,aquatint,digital,casein,handmade paper,cardboard,lithograph,silkscreen,canvas,silk,print,prints,board,wove paper,masonite,paperboard,isSet,age,area,Style_American,Style_Asia,Style_China,Style_India,Style_Latin America,Style_Masters,Style_Nature,saleCurrency_GBP,saleCurrency_HKD,saleCurrency_USD,Year_s_2017,Year_s_2018,Year_s_2019,SP,Dow,t-bill,NASDAQ
74.0,57.0,2004.0,5000.0,41266,26,4000.0,2000.0,6250.0,1500.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,13,4218.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
110.7,90.0,2006.0,4000.0,41267,27,5000.0,3000.0,5000.0,2400.0,7,45632.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,11,9963.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
60.8,41.0,2007.0,2800.0,41268,28,1800.0,1200.0,3500.0,1200.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,10,2492.8,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
75.0,101.5,2009.0,7500.0,41269,29,6000.0,4000.0,9375.0,4000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,8,7612.5,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
20.5,25.8,2005.0,800.0,41270,30,1000.0,800.0,1000.0,800.0,7,45632.95,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12,528.9,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
43.0,35.0,2004.0,7500.0,41271,31,7000.0,5000.0,9375.0,5000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,13,1505.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
43.0,35.0,2004.0,9500.0,41272,32,8000.0,6000.0,11875.0,6000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,13,1505.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
43.0,35.0,2004.0,7500.0,41273,33,8000.0,6000.0,9375.0,6000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0.0,13,1505.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
116.5,258.0,2006.0,9000.0,41274,34,18000.0,12000.0,11250.0,9000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,11,30057.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
120.0,100.0,2006.0,2600.0,41275,35,5000.0,3000.0,3250.0,2600.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,11,12000.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
240.0,129.0,2006.0,1400.0,41276,36,2000.0,1000.0,1750.0,800.0,7,45632.95,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11,30960.0,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
99.4,68.2,1997.0,2600.0,41277,37,3000.0,2000.0,3250.0,1000.0,7,45632.95,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,20,6779.080000000001,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
62.6,93.2,1995.0,14000.0,41279,39,8000.0,6000.0,17500.0,3000.0,7,45632.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,22,5834.3200000000015,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
58.0,70.8,1998.0,1000.0,41281,41,2000.0,1000.0,1250.0,1000.0,7,45632.95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,19,4106.4,0,1,0,0,0,0,0,0,0,1,1,0,0,2357.03,20606.93,1.748,6011.24
